property_type,sector,bedroom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price
1,20,3,3,3,1,0,2250.0,0,0,0,1,5.0
0,89,2,2,1,2,1,546.0,0,0,0,2,0.36
0,109,3,5,3,2,1,1806.809523809524,1,0,0,1,1.56
0,89,3,3,3,0,3,1164.895238095238,0,0,2,0,1.2
0,44,3,3,3,1,4,1388.888888888889,0,0,0,1,1.1
0,76,2,2,1,0,1,656.6666666666666,0,0,0,1,0.7
0,78,3,3,3,0,3,1639.428571428571,0,0,0,1,2.07
0,80,3,4,4,0,1,1922.6190476190477,1,0,0,2,1.65
0,6,3,3,4,2,1,2544.4444444444443,1,0,0,2,1.95
0,11,3,3,4,2,3,1466.0,0,0,0,1,1.4
0,0,3,3,2,2,4,1266.6666666666663,0,0,0,1,1.3
0,92,3,3,2,2,3,1800.0,1,0,1,0,2.4
0,5,3,3,4,0,3,1682.5396825396824,0,0,0,1,1.65
0,103,2,2,1,2,1,650.0,0,0,0,1,0.5
0,94,3,3,4,0,3,1892.7619047619048,1,0,1,0,2.2
1,46,1,1,1,1,3,450.0,0,0,0,1,0.34
0,111,2,2,0,1,3,481.0,0,0,0,1,0.25
0,77,2,2,3,1,3,1150.0,0,0,2,2,1.1
1,28,3,3,2,1,0,2430.0,1,0,2,2,4.0
1,111,1,1,0,1,3,33.0,0,0,0,1,0.07
0,105,4,3,3,2,0,1769.7142857142856,0,0,0,2,0.95
1,105,4,4,3,2,3,1743.0,0,0,0,1,0.85
1,28,7,7,4,1,0,5000.0,1,0,0,2,5.65
0,73,3,3,2,2,4,1653.9047619047617,0,0,0,1,2.44
0,69,3,3,2,2,1,1721.111111111111,0,0,0,2,2.0
0,73,3,3,3,2,3,1650.0,1,0,0,1,2.65
0,9,2,2,4,2,3,1235.9047619047617,0,0,0,2,0.82
1,62,3,3,2,2,1,1620.0,1,0,2,2,1.64
0,78,3,3,2,2,3,1427.7142857142856,0,0,2,0,1.52
0,78,4,6,4,0,3,2816.6031746031745,1,0,0,0,3.1
1,50,4,4,2,1,2,1935.0,1,0,2,2,5.25
0,55,5,5,4,0,0,3723.0952380952376,1,0,0,1,4.52
0,4,2,2,2,0,3,915.0,0,0,0,1,0.95
0,95,4,4,3,0,0,1970.079365079365,1,0,0,2,1.25
1,13,2,2,0,1,3,450.0,0,0,0,1,0.24
0,74,3,4,3,2,3,2000.0,1,0,2,2,3.45
1,29,8,11,4,2,2,5000.0,1,0,2,1,11.0
0,78,3,3,2,1,3,1324.968253968254,0,0,1,0,1.51
0,27,3,4,4,2,3,2600.0,1,0,1,2,4.3
0,27,3,3,4,1,1,2068.626984126984,0,0,1,2,4.1
0,6,3,4,4,2,3,2071.904761904762,1,0,0,2,2.0
1,90,4,6,1,2,3,558.0,0,0,0,1,1.6
0,17,3,3,3,0,1,1806.0,0,0,0,2,2.0
0,5,3,4,3,0,4,2012.2222222222224,1,0,0,2,1.25
0,103,4,4,4,0,0,2004.0476190476188,1,0,0,1,1.7
0,107,2,2,3,0,1,895.7142857142857,0,0,0,1,0.56
0,80,3,3,4,2,3,1764.2857142857142,1,0,0,1,1.78
0,72,2,2,2,2,4,1372.2222222222222,0,0,0,1,1.4
0,12,2,2,3,2,1,1085.7142857142856,0,0,0,2,0.9
0,29,4,5,3,2,2,6300.0,0,0,0,1,14.0
0,94,3,3,3,0,0,1668.2777777777778,0,0,0,1,1.87
0,111,2,2,2,2,3,1143.6190476190477,0,0,0,2,0.78
0,16,3,3,2,0,3,2225.56,1,0,2,0,3.75
0,69,3,3,3,1,1,1630.0,0,0,0,2,2.41
1,31,5,5,4,1,3,4518.0,1,1,2,2,17.0
0,95,3,3,3,2,3,1600.0,1,0,2,0,1.75
0,9,2,2,2,2,3,627.3809523809523,0,0,1,1,0.38
0,78,3,2,3,2,3,1473.3333333333333,0,0,0,2,0.9
1,81,4,4,4,2,3,6000.0,1,1,2,0,5.35
1,19,6,6,0,2,2,192.0,0,0,0,1,0.62
1,51,6,4,4,2,2,2475.0,1,1,2,2,7.35
0,14,2,1,1,1,3,1000.0,0,0,0,1,0.28
0,75,3,3,3,2,3,2200.0,1,0,2,1,2.99
0,111,2,2,1,2,3,576.6666666666666,0,0,0,1,0.29
0,10,2,2,2,2,3,1234.9999999999998,0,0,2,0,0.65
0,92,3,3,2,2,3,1800.0,1,0,2,0,2.45
0,59,1,1,0,1,0,277.77777777777777,0,0,2,1,0.29
0,5,3,4,4,2,3,3715.555555555556,1,0,2,1,1.9
0,15,3,4,2,2,3,2085.3571428571427,1,0,2,0,2.65
1,57,4,4,3,1,0,3240.0,1,0,0,1,9.8
0,76,2,2,2,2,3,1149.111111111111,0,0,0,2,1.4
0,84,3,3,3,2,4,1622.0,1,0,0,2,0.9
1,30,9,9,4,2,2,3600.0,1,1,0,2,10.75
0,111,2,2,2,2,3,761.7230158730158,0,0,0,2,0.4
0,71,4,4,0,0,1,3950.0,0,0,0,2,8.5
0,2,3,4,3,2,3,2716.6666666666665,1,0,0,1,0.75
0,54,4,5,4,0,0,4119.380952380952,0,0,2,2,4.25
0,39,2,2,3,0,4,1448.015873015873,0,0,0,2,1.4
1,104,4,4,4,2,0,3400.0,1,1,2,2,2.5
0,92,3,4,4,0,3,1853.3650793650795,1,0,1,0,2.3
0,57,3,3,4,2,0,2491.0,1,0,0,0,2.65
0,10,3,4,2,0,3,2003.0,0,0,0,2,2.9
0,97,2,2,4,0,3,1379.6825396825395,0,1,0,0,1.2
1,13,7,3,0,2,0,300.0,0,0,0,1,1.2
0,77,2,2,4,0,1,1180.0,0,0,2,1,0.8
0,82,1,1,1,2,0,869.0,0,0,0,2,1.0
1,7,3,2,1,1,3,720.0,0,0,0,1,0.65
0,99,3,3,3,0,3,1993.3333333333333,0,0,0,1,1.45
0,77,3,2,3,2,3,1402.3809523809523,0,0,0,1,2.22
0,10,4,5,4,1,3,2204.25,1,0,1,0,3.0
1,54,4,4,4,1,0,2700.0,1,0,0,2,6.0
0,6,3,4,4,2,3,2017.7777777777776,1,0,2,2,1.16
0,10,2,3,3,2,3,1160.8095238095236,1,0,0,2,0.9
1,102,9,9,3,2,0,2628.0,0,0,2,2,3.4
1,79,2,2,2,1,0,1080.0,0,0,2,2,1.55
0,7,3,2,1,1,0,833.3333333333333,0,0,0,1,0.42
0,73,3,5,4,1,3,4271.111111111111,1,0,1,1,6.15
0,98,3,3,1,0,3,1719.0476190476188,0,0,0,1,1.5
0,6,3,4,3,0,1,2544.4444444444443,0,0,0,2,1.8
0,101,2,2,3,2,1,1233.3333333333333,0,0,0,2,1.0
0,104,4,4,3,2,3,2464.5714285714284,1,0,0,2,1.9
0,43,3,4,3,2,3,1659.9603174603174,1,0,0,1,0.98
0,12,3,3,3,1,0,1833.3333333333333,0,0,0,1,1.1
0,41,1,1,1,2,3,435.55555555555554,0,0,0,1,0.4
